idParroquiaSalud;idParroquias;idSalud;Parr_ubi
820;;79;Manta
821;529;66;Bahía de Caraquez
822;;66;El Carmen
823;;77;Manta
824;;66;Paján
825;278;66;Rocafuerte
826;255;38;Portoviejo
827;502;64;Chone
828;;38;Jipijapa
829;533;113;Abdón Calderón (San Francisco)
830;534;113;Alhajuela (Bajo Grande)
831;255;113;Portoviejo
832;;113;Pueblo Nuevo
833;;8;Riochico (Río Chico)
834;;113;San Plácido
835;;113;Crucita
836;;8;Pichincha
837;;113;Quiroga
838;502;8;Chone
839;541;113;Boyacá
840;542;113;Canuto
841;;113;Convento
842;;113;Eloy Alfaro
843;;8;Flavio Alfaro
844;14;113;Ricaurte
845;547;113;San Antonio
846;;113;El Carmen
847;548;113;América
848;;113;El Anegado (Cab. en Eloy Alfaro)
849;;113;Julcuy
850;;113;Machalilla
851;;8;Pedro Pablo Gómez
852;;113;Jipijapa
853;;8;Puerto López
854;;30;Junín
855;555;8;San Lorenzo
856;;8;Montecristi
857;;8;Jaramijó
858;558;113;Campozano (La Palma de Paján)
859;559;113;Cascol
860;;113;Guale
861;;113;Lascano
862;562;113;Bachillero
863;563;113;Ángel Pedro Giler (La Estancilla)
864;;30;Tosagua
865;;30;Santa Ana de Vuelta Larga, Cabecera Cantonal
866;566;113;Ayacucho
867;;113;Honorato Vásquez (Cab. en Vásquez)
868;;113;San Pablo (Cab. en Pueblo Nuevo)
869;;8;Olmedo
870;529;8;Bahía de Caraquez
871;569;113;Canoa
872;;113;Cojimíes
873;571;113;Charapotó
874;572;113;10 de Agosto
875;;113;Jama
876;;8;Pedernales
877;128;113;San Isidro
878;576;8;San Vicente
879;577;113;Bellavista
880;;113;Noboa
881;;8;Sucre
882;580;113;Chirijos
883;;11;Manta
884;;8;Manta
885;;113;Membrillo
886;;113;Junín
887;280;113;La Unión
888;583;113;Atahualpa
889;255;8;Portoviejo
890;;113;Pedro Pablo Gómez
891;;113;Membrillal
892;585;113;Barraganete
893;;113;San Sebastián
894;;113;Wilfrido Loor Moreira (Maicito)
895;582;8;La Unión
896;576;113;San Vicente
897;;113;Santa Ana de Vuelta Larga, Cabecera Cantonal
898;;113;Riochico (Río Chico)
899;;113;Manta
900;;113;Montecristi
901;525;113;Calceta
902;502;113;Chone
903;255;51;Portoviejo
904;255;54;Portoviejo
905;255;47;Portoviejo
906;255;62;Portoviejo
907;529;51;Bahía de Caraquez
908;;1;Jipijapa
909;;56;Jipijapa
910;255;49;Portoviejo
911;;117;Manta
912;;102;Manta
913;255;120;Portoviejo
914;;49;Montecristi
915;;51;Manta
916;;79;Macas
917;;66;Gualaquiza
918;;66;General Leonidas Plaza Gutiérrez (Limón)
919;;66;Santiago de Méndez
920;;66;Sucúa
921;;66;Taisha
922;;113;Sevilla Don Bosco
923;596;113;Chiguaza
924;;110;Sevilla Don Bosco
925;;113;Cuchaentza
926;598;110;Alshi (Cab. en 9 de Octubre)
927;;113;Macuma
928;;8;Sinaí
929;;110;Pablo Sexto
930;602;113;Chiguinda
931;;8;Palora (Metzera)
932;75;113;Santiago
933;;113;Patuca
934;;110;Shimpis
935;;8;Sucúa
936;;113;Yaupi
937;;110;Yaupi
938;;110;Cuchaentza
939;;8;Pablo Sexto
940;608;113;Bomboiza
941;;113;San Juan Bosco
942;;113;Logroño
943;;113;Huambi
944;;110;Santa Susana de Chiviaza (Cab. en Chiviaza)
945;;113;Tuutinentza
946;;113;Yunganza (Cab. en El Rosario)
947;;113;Copal
948;;113;Tayuza
949;;113;San José de Morona
950;;113;Indanza
951;;113;Nueva Tarqui
952;;113;Santa Susana de Chiviaza (Cab. en Chiviaza)
953;;113;San Luis de El Acho (Cab. en El Acho)
954;;113;Huamboya
955;;110;San José de Morona
956;;110;Sucúa
957;;110;Huasaga (Cab. en Wampuik)
958;;64;Macas
959;;52;Taisha
960;;52;Patuca
961;;6;Sucúa
962;;113;Sucúa
963;;8;Macas
964;;79;Tena
965;624;68;Archidona
966;;68;Nuevo Rocafuerte
967;;79;Puerto Francisco de Orellana (El Coca)
968;;68;El Chaco
969;;77;Puerto Francisco de Orellana (El Coca)
970;628;66;Baeza
971;;113;Puerto Misahualli
972;;113;El Chaco
973;;113;Cuyuja
974;631;113;Ahuano
975;;8;La Joya de los Sachas
976;;113;Chontapunta
977;634;113;Carlos Julio Arosemena Tola
978;;113;Cotundo
979;;8;Loreto
980;;113;Cosanga
981;624;8;Archidona
982;;113;San Francisco de Borja (Virgilio Dávila)
983;;113;Puerto Murialdo
